strategy,cluster,E,share_mo,n_mo_c,cost_base_bpyr,cost_saved_bpyr,cost_saved_pct,saved_per_treated_mo_bp,turnover_removed,uniform_saved_matched_bpyr,cluster_minus_uniform_bpyr,net_base_pctyr,net_delta_pctyr
momentum,C3-deeploser,10,0.144,17,15.51,0.0,0.0,0.0,0.0,0.0,0.0,20.639,0.0
momentum,C3-deeploser,15,0.144,17,15.51,0.412,2.66,2.4237,0.1141,0.411,0.001,20.639,-0.416
momentum,C3-deeploser,20,0.144,17,15.51,0.572,3.69,3.3652,0.1574,0.568,0.005,20.639,-0.457
momentum,C3-deeploser,25,0.144,17,15.51,0.697,4.49,4.0981,0.187,0.675,0.022,20.639,-0.544
momentum,C3-deeploser,30,0.144,17,15.51,0.699,4.51,4.1126,0.1877,0.677,0.022,20.639,-0.576
momentum,C3-deeploser,40,0.144,17,15.51,0.728,4.69,4.2798,0.1915,0.691,0.037,20.639,-0.593
momentum,C3-deeploser,60,0.144,17,15.51,0.83,5.35,4.8822,0.2124,0.766,0.064,20.639,-0.622
momentum,C3-deeploser,100,0.144,17,15.51,0.846,5.45,4.9756,0.2154,0.777,0.069,20.639,-0.665
reversal,C0-winner,10,0.314,37,38.24,0.0,0.0,0.0,0.0,0.0,0.0,11.244,0.0
reversal,C0-winner,15,0.314,37,38.24,0.536,1.4,1.4492,0.1437,0.523,0.013,11.244,0.146
reversal,C0-winner,20,0.314,37,38.24,1.17,3.06,3.163,0.3323,1.315,-0.144,11.244,0.323
reversal,C0-winner,25,0.314,37,38.24,1.719,4.5,4.6465,0.4871,1.984,-0.265,11.244,0.517
reversal,C0-winner,30,0.314,37,38.24,2.191,5.73,5.9217,0.6256,2.503,-0.312,11.244,0.236
reversal,C0-winner,40,0.314,37,38.24,3.121,8.16,8.4349,0.9032,3.531,-0.41,11.244,0.939
reversal,C0-winner,60,0.314,37,38.24,4.769,12.47,12.8896,1.3963,5.391,-0.622,11.244,1.195
reversal,C0-winner,100,0.314,37,38.24,8.346,21.83,22.5579,2.4651,9.497,-1.151,11.244,1.957
reversal,C1,10,0.373,44,38.24,0.0,0.0,0.0,0.0,0.0,0.0,11.244,0.0
reversal,C1,15,0.373,44,38.24,0.557,1.46,1.2658,0.143,0.521,0.036,11.244,0.287
reversal,C1,20,0.373,44,38.24,1.428,3.73,3.2458,0.3785,1.514,-0.086,11.244,-0.025
reversal,C1,25,0.373,44,38.24,1.872,4.9,4.2547,0.5137,2.087,-0.215,11.244,-0.208
reversal,C1,30,0.373,44,38.24,2.636,6.89,5.9915,0.7375,2.918,-0.282,11.244,-0.451
reversal,C1,40,0.373,44,38.24,4.002,10.47,9.0956,1.1405,4.391,-0.389,11.244,-0.265
reversal,C1,60,0.373,44,38.24,5.665,14.81,12.8753,1.6485,6.425,-0.76,11.244,0.313
