permno,ticker,comnam,namedt,nameenddt
13604,BERY,BERRY GLOBAL GROUP INC,2017-04-13,2024-12-31
87267,BLK,BLACKROCK INC NEW,2024-10-02,2024-12-31
10138,TROW,T ROWE PRICE GROUP INC,2000-12-29,2024-12-31
90248,DPZ,DOMINOS PIZZA INC,2024-06-21,2024-12-31
93179,PPC,PILGRIMS PRIDE CORP NEW,2012-12-28,2024-12-31
90505,LVS,LAS VEGAS SANDS CORP,2021-03-31,2024-12-31
93246,GNRC,GENERAC HOLDINGS INC,2010-02-11,2024-12-31
10107,MSFT,MICROSOFT CORP,1986-03-13,2024-12-31
93263,CELH,CELSIUS HOLDINGS INC,2017-05-24,2024-12-31
10104,ORCL,ORACLE CORP,2023-06-27,2024-12-31
93312,SSNC,S S & C TECHNOLOGIES HLDGS INC,2010-03-31,2024-12-31
12060,GE,GENERAL ELECTRIC CO,2021-08-02,2024-12-31
11990,KKR,K K R & CO INC,2024-06-21,2024-12-31
90312,WLK,WESTLAKE CORP,2022-02-22,2024-12-31
90455,MPWR,MONOLITHIC PWR SYS INC,2004-11-19,2024-12-31
90319,GOOGL,ALPHABET INC,2015-10-05,2024-12-31
13621,PBYI,PUMA BIOTECHNOLOGY INC,2017-01-03,2024-12-31
90454,MKTX,MARKETAXESS HLDGS INC,2004-11-05,2024-12-31
90386,MOS,MOSAIC CO NEW,2011-05-25,2024-12-31
12052,GD,GENERAL DYNAMICS CORP,2014-01-22,2024-12-31
93429,CBOE,C B O E GLOBAL MARKETS INC,2024-06-21,2024-12-31
87299,AKAM,AKAMAI TECHNOLOGIES INC,2000-08-01,2024-12-31
90227,LBTYA,LIBERTY GLOBAL LTD,2023-11-24,2024-12-31
12062,LH,LABCORP HOLDINGS INC,2024-05-20,2024-12-31
90215,CRM,SALESFORCE INC,2022-04-04,2024-12-31
12449,CPAY,CORPAY INC,2024-03-25,2024-12-31
90720,BLDR,BUILDERS FIRSTSOURCE INC,2021-07-19,2024-12-31
87447,UPS,UNITED PARCEL SERVICE INC,2022-10-20,2024-12-31
93089,VRSK,VERISK ANALYTICS INC,2015-06-02,2024-12-31
93096,DG,DOLLAR GENERAL CORP NEW,2011-06-14,2024-12-31
