combo,n_features,fold,hmm_seed,n_xgb_seeds,val_ir,val_sharpe,n_val_months,hmm_sec,xgb_sec
DD+VOL+SKEW,3,105,2,5,-2.235838236740065,-0.8659579008019445,12,63.8,22.3
DD+VOL+SKEW,3,105,3,5,-2.0425659851743285,-0.8972199991169555,12,64.3,22.2
DD+VOL+SKEW,3,106,1,5,0.2686330240645805,1.3972736286321867,12,66.8,23.2
DD+VOL+SKEW,3,106,2,5,0.22842783822507653,1.532423452320967,12,66.9,23.2
DD+VOL+SKEW,3,106,3,5,0.6821866924237466,1.960184504464109,12,66.8,23.4
DD+VOL+SKEW,3,107,1,5,0.4142807620344239,3.300785609793881,12,69.0,23.7
DD+VOL+SKEW,3,107,2,5,0.48085879188495084,2.8442863455418004,12,69.7,24.0
DD+VOL+SKEW,3,107,3,5,-0.07689680505299393,2.426317449565497,12,69.0,23.9
DD+VOL+SKEW,3,108,1,5,-0.5208005827045767,-0.3038211796192687,12,71.8,24.8
DD+VOL+SKEW,3,108,2,5,-0.20879187873151386,-0.1392959354246424,12,71.4,25.0
DD+VOL+SKEW,3,108,3,5,-0.3513012366907457,-0.2105933700225238,12,72.2,25.1
DD+VOL+SKEW,3,109,1,5,-0.8631413663547628,0.7726445611933418,12,74.2,26.1
DD+VOL+SKEW,3,109,2,5,-0.5889235115590196,0.9259534491047232,12,74.0,25.7
DD+VOL+SKEW,3,109,3,5,0.130289489052893,2.0303579073638325,12,75.0,25.8
DD+VOL+SKEW,3,110,1,5,2.1721006810736436,1.535322597603998,12,77.2,26.5
DD+VOL+SKEW,3,110,2,5,2.383297873202193,1.5981949537947018,12,77.6,26.5
DD+VOL+SKEW,3,110,3,5,2.38998024739877,1.5848430789487615,12,77.4,26.6
DD+VOL+SKEW,3,111,1,5,-2.7421429422046226,-0.7850489099311454,12,80.0,28.0
DD+VOL+SKEW,3,111,2,5,-1.894575853634288,-0.30994890649869355,12,79.3,27.9
DD+VOL+SKEW,3,111,3,5,-1.9974029812570346,-0.2751152165746854,12,79.3,27.6
DD+VOL+SKEW,3,112,1,5,0.8628156184287809,0.2240696368193842,12,82.7,28.6
DD+VOL+SKEW,3,112,2,5,0.7896058819149185,0.18300653794559546,12,82.3,28.5
DD+VOL+SKEW,3,112,3,5,1.2827344562397078,0.4004767418803406,12,82.9,28.5
DD+VOL+SKEW,3,113,1,5,0.9960407296362099,1.5867886279073913,12,85.0,29.6
DD+DISP+TERM,3,1,1,5,0.9284231959478141,1.42221894402031,24,17.2,6.9
DD+VOL+SKEW,3,113,2,5,1.442391410648842,1.6677696573494156,12,85.1,30.0
DD+DISP+TERM,3,1,2,5,1.1818301942236606,1.562566704202666,24,17.1,7.0
DD+VOL+SKEW,3,113,3,5,1.312313214179344,1.5665274186591678,12,84.4,30.0
DD+DISP+TERM,3,1,3,5,0.21691615620579568,1.1263887954439187,24,17.3,6.8
DD+VOL+SKEW,3,114,1,5,0.7841814211620926,1.8416893428226446,12,86.9,30.7
DD+DISP+TERM,3,2,1,5,0.45533486593984646,0.4850848060082893,24,22.5,8.8
DD+DISP+TERM,3,2,2,5,0.41217925178443593,0.4508219235686088,24,22.2,8.9
DD+DISP+TERM,3,2,3,5,0.519979870281283,0.5349252582525313,24,22.2,8.9
DD+VOL+SKEW,3,114,2,5,0.944004431314149,1.8282675320065525,12,87.2,31.1
DD+DISP+TERM,3,3,1,5,-0.22959635034124828,-0.6404090231601981,24,27.9,10.3
DD+DISP+TERM,3,3,2,5,-0.4352264970419101,-0.7895882891510462,24,27.8,10.3
DD+VOL+SKEW,3,114,3,5,0.8450507029171848,2.0045892325603547,12,88.1,30.7
DD+DISP+TERM,3,3,3,5,-0.16771045375014876,-0.6080110974573334,24,27.9,10.3
DD+DISP+TERM,3,4,1,5,1.9229145702281292,2.1096022161688994,24,32.8,11.9
DD+DISP+TERM,3,4,2,5,2.0968356502404064,2.223975890343529,24,32.6,12.0
DD+DISP+TERM,3,4,3,5,1.392692179961418,1.7869889243924761,24,32.7,11.8
DD+DISP+TERM,3,5,1,5,0.9093730670831363,1.4225931456296128,24,38.2,13.5
DD+DISP+TERM,3,5,2,5,0.6419135762158037,1.202447110925657,24,37.8,13.6
DD+DISP+TERM,3,5,3,5,0.6805863155334995,1.2478846760246836,24,37.8,13.6
DD+DISP+TERM,3,6,1,5,0.018332198824691306,-0.2677419908295067,30,43.0,15.5
DD+DISP+TERM,3,6,3,5,-0.10413530027201875,-0.3229592853681796,30,42.8,15.6
DD+DISP+TERM,3,6,2,5,0.054132550592008846,-0.24674973745519224,30,43.4,15.7
DD+DISP+TERM,3,7,1,5,0.5703035623736116,1.1577000468231158,18,49.7,17.3
DD+DISP+TERM,3,7,2,5,0.5443835605572983,1.1493985494030532,18,50.0,17.4
DD+DISP+TERM,3,7,3,5,0.8478120825737625,1.2486515754269225,18,49.4,17.5
DD+DISP+TERM,3,101,1,5,-0.1649042788122565,0.11214050901123018,12,53.3,18.8
DD+DISP+TERM,3,101,2,5,0.069919297817135,0.21797178669067113,12,53.9,18.6
DD+DISP+TERM,3,101,3,5,-0.3493530130109152,0.03565555237870898,12,53.2,18.9
DD+DISP+TERM,3,102,1,5,-0.7947446475261799,0.586362197881453,12,55.9,19.7
DD+DISP+TERM,3,102,2,5,-0.48460998550956397,1.192391254953729,12,56.5,19.4
DD+DISP+TERM,3,102,3,5,-0.5684409669175081,1.3163302388376767,12,56.6,20.1
DD+DISP+TERM,3,103,1,5,-0.11627717235739997,1.731934584439022,12,58.9,20.8
DD+DISP+TERM,3,103,2,5,0.4108517693471366,1.6810838969388318,12,59.5,20.6
DD+DISP+TERM,3,103,3,5,0.41079924447688704,1.7182057261978954,12,59.1,20.5
DD+DISP+TERM,3,104,1,5,-0.5828918705355745,0.5731402822154326,12,61.5,21.5
DD+DISP+TERM,3,104,2,5,0.38597936819449147,1.1720236719987696,12,61.6,21.5
DD+DISP+TERM,3,104,3,5,0.30245948906014164,1.1281390520675365,12,62.4,21.1
DD+DISP+TERM,3,105,1,5,-1.3327311550051537,-0.6467165308978433,12,64.4,22.2
DD+DISP+TERM,3,105,2,5,-1.56860198924276,-0.7356158484464169,12,63.9,22.2
DD+DISP+TERM,3,105,3,5,-1.0760247373641996,-0.6032599757795855,12,63.8,22.3
DD+DISP+TERM,3,106,1,5,1.2654251057074326,2.0234585487428247,12,66.8,23.1
DD+DISP+TERM,3,106,2,5,1.0957850928474586,2.1658112220101073,12,66.2,23.1
DD+DISP+TERM,3,106,3,5,0.9151195376136971,2.2415741471989477,12,66.8,23.0
DD+DISP+TERM,3,107,1,5,1.248774409112513,3.4803054138404006,12,69.4,23.6
DD+DISP+TERM,3,107,2,5,0.5305315219111911,2.7661826985878584,12,69.9,24.0
DD+DISP+TERM,3,107,3,5,0.8921829632405422,2.8213334653564544,12,68.9,24.0
DD+DISP+TERM,3,108,1,5,0.1487993023970628,0.04425915592788946,12,72.1,24.7
DD+DISP+TERM,3,108,2,5,-0.021538891627674625,-0.044986415294609484,12,72.4,24.7
DD+DISP+TERM,3,108,3,5,0.5441738591418109,0.2475025792822876,12,71.4,24.8
DD+DISP+TERM,3,109,1,5,-1.0818630380521475,0.8222057276274479,12,74.2,25.9
DD+DISP+TERM,3,109,2,5,-1.192096224317123,0.7212594434203303,12,75.1,25.5
DD+DISP+TERM,3,109,3,5,-1.1138130952822527,1.018035600721941,12,74.8,25.7
DD+DISP+TERM,3,110,1,5,1.6476933590241074,1.4506601478039853,12,76.4,26.7
DD+DISP+TERM,3,110,2,5,1.9282734927652554,1.43031590269355,12,77.5,26.7
DD+DISP+TERM,3,110,3,5,2.265865111305818,1.6521906837144864,12,77.4,26.7
DD+DISP+TERM,3,111,1,5,-2.495090097677109,-0.7328849460317916,12,79.5,27.7
DD+DISP+TERM,3,111,2,5,-2.17063194129049,-0.5145279484784687,12,79.8,27.8
DD+DISP+TERM,3,111,3,5,-1.714527151818427,-0.23387445334415377,12,79.6,27.3
DD+DISP+TERM,3,112,1,5,1.3920302707895689,0.4545207385083622,12,82.9,28.6
DD+DISP+TERM,3,112,2,5,1.2889374556403597,0.41096184670404134,12,81.8,28.6
DD+DISP+TERM,3,112,3,5,0.9771165302425685,0.2820496729568187,12,82.3,28.7
DD+DISP+TERM,3,113,1,5,1.489290288575871,1.9218697490164418,12,85.5,29.5
DD+CS+SKEW+TERM,4,1,1,5,0.3085419228655192,1.117453709952453,24,17.2,7.0
DD+DISP+TERM,3,113,2,5,1.6823369970866797,2.1528600750912634,12,84.7,29.8
DD+DISP+TERM,3,113,3,5,1.6008847820986551,2.1045990231359912,12,84.6,29.8
DD+CS+SKEW+TERM,4,1,2,5,0.4079417299019713,1.2030996825033424,24,17.2,7.0
DD+CS+SKEW+TERM,4,1,3,5,0.5566871472703159,1.2004739243638185,24,17.1,7.0
DD+CS+SKEW+TERM,4,2,1,5,-0.07049243993133472,0.07776908893707722,24,22.3,8.7
DD+DISP+TERM,3,114,1,5,2.285248077328997,2.6531437514703993,12,87.9,30.7
DD+CS+SKEW+TERM,4,2,2,5,1.0393367147323818,0.8948514278387372,24,22.3,8.9
DD+CS+SKEW+TERM,4,2,3,5,-0.12679907255334838,0.04003316088553606,24,22.4,9.0
DD+CS+SKEW+TERM,4,3,1,5,-0.5295639873590465,-0.7663965386499333,24,27.8,10.5
DD+DISP+TERM,3,114,2,5,1.6661243424207945,2.115701212952771,12,88.0,31.2
DD+CS+SKEW+TERM,4,3,2,5,-0.43941840194775955,-0.7132310942848155,24,27.7,10.3
DD+DISP+TERM,3,114,3,5,1.847229561439665,2.2538712078849636,12,87.5,30.7
DD+CS+SKEW+TERM,4,3,3,5,-0.5771249406017495,-0.7982560621661905,24,27.6,10.2
DD+CS+SKEW+TERM,4,4,1,5,1.1815152935053317,1.7726198373223623,24,32.9,12.0
DD+CS+SKEW+TERM,4,4,2,5,1.1564351891100562,1.7339354449289723,24,33.1,12.0
DD+CS+SKEW+TERM,4,4,3,5,0.8563459158847896,1.5624111211718652,24,32.8,11.8
DD+CS+SKEW+TERM,4,5,1,5,0.739460618178725,1.5081745029690223,24,38.1,13.6
DD+CS+SKEW+TERM,4,5,2,5,0.7600629900619535,1.4342195327004525,24,37.7,13.7
DD+CS+SKEW+TERM,4,5,3,5,0.7166569895770165,1.3997699814817892,24,37.9,13.8
DD+CS+SKEW+TERM,4,6,1,5,-0.17057620431478204,-0.35773159079583416,30,43.6,15.5
DD+CS+SKEW+TERM,4,6,2,5,-0.07444541858364859,-0.31209699561797066,30,43.4,15.7
DD+CS+SKEW+TERM,4,6,3,5,-0.22960625908071564,-0.3847896686405779,30,43.3,15.3
DD+CS+SKEW+TERM,4,7,1,5,0.4999984323558541,1.1054180567550425,18,50.0,17.2
DD+CS+SKEW+TERM,4,7,2,5,0.5988490156459038,1.135096318108441,18,50.3,17.4
DD+CS+SKEW+TERM,4,7,3,5,0.7211334449844415,1.25145098997356,18,49.7,17.4
DD+CS+SKEW+TERM,4,101,1,5,0.6776068966386308,0.5070228779379985,12,53.8,18.8
