date,year,rule,combo,strat_ret,bench_ret,pi
2015-10-30,2015,rule_r,DD,-0.02180145365429859,0.003938488087296281,0.6373369221149247
2015-11-30,2015,rule_r,DD,-0.006996446404280726,-0.019876213550533862,0.1839238795836297
2015-12-31,2015,rule_r,DD,-0.09828946601424769,-0.05498545956672775,0.4638129477605271
2015-01-30,2015,argmax,DD+VOL,0.060673681835672774,0.06062197579617006,0.010693767509013144
2015-02-27,2015,argmax,DD+VOL,-0.018640164759824537,-0.013037936408476164,0.0011924654804702118
2015-03-31,2015,argmax,DD+VOL,0.02207057143323726,0.007893736713069775,0.0023167326333786062
2015-04-30,2015,argmax,DD+VOL,0.026261894772647065,0.013203209399164504,0.0006763240636839126
2015-05-29,2015,argmax,DD+VOL,-0.022175897247912475,-0.01708589930476988,0.0010958247205277842
2015-06-30,2015,argmax,DD+VOL,0.038422039584517585,0.01871750766750916,0.0018599862767293657
2015-07-31,2015,argmax,DD+VOL,-0.05611352603007762,-0.0603375226593106,0.001516750518719859
2015-08-31,2015,argmax,DD+VOL,-0.04500316252988854,-0.027571118284330162,0.882414077199966
2015-09-30,2015,argmax,DD+VOL,0.06439114114292412,0.0786870695788067,0.9999998996734791
2015-10-30,2015,argmax,DD+VOL,-0.016319869256000027,0.003938488087296281,0.5849649795908188
2015-11-30,2015,argmax,DD+VOL,-0.01492872479862435,-0.019876213550533862,0.11284007753401225
2015-12-31,2015,argmax,DD+VOL,-0.07442879534516976,-0.05498545956672775,0.39013957694811124
2016-01-29,2016,rule_r,DD,0.02098976437030909,-0.0007841514890493499,0.9999999689619333
2016-02-29,2016,rule_r,DD,0.08610352126526116,0.06841084266058739,0.9999999961006375
2016-03-31,2016,rule_r,DD,-0.005482933112844354,0.007752456911296998,0.859897575656366
2016-04-29,2016,rule_r,DD,0.03217946220050109,0.01807923463410005,0.38230983065047935
2016-05-31,2016,rule_r,DD,-0.0013046130217705557,-0.0001500302010484537,0.02948908439122955
2016-06-30,2016,rule_r,DD,0.044589560555521365,0.03845890499199308,0.003681144950362594
2016-07-29,2016,rule_r,DD,0.003965718009027778,0.0036897479717227255,0.002573445246995802
2016-08-31,2016,rule_r,DD,0.011558140212198866,0.001609297963371822,0.0025181081388130342
2016-09-30,2016,rule_r,DD,-0.030363960029055947,-0.01758587488840755,0.002515346199854765
2016-10-31,2016,rule_r,DD,0.05924417085056057,0.044502019254316585,0.004083716070258484
2016-11-30,2016,rule_r,DD,0.03686836633858051,0.018039625444510345,0.002593568291268724
2016-12-30,2016,rule_r,DD,0.02576500857485021,0.020683567059157807,0.002519111889499095
2016-01-29,2016,argmax,DD+VOL,0.015728919739256608,-0.0007841514890493499,0.9999999427911506
2016-02-29,2016,argmax,DD+VOL,0.08477765026389096,0.06841084266058739,0.9999999956944668
2016-03-31,2016,argmax,DD+VOL,0.034942244955878915,0.007752456911296998,0.8060674001270083
2016-04-29,2016,argmax,DD+VOL,0.013958340369351525,0.01807923463410005,0.20023488358833474
2016-05-31,2016,argmax,DD+VOL,-0.02446835663373612,-0.0001500302010484537,0.008903637585053727
2016-06-30,2016,argmax,DD+VOL,0.07031720010759594,0.03845890499199308,0.01108350378320445
2016-07-29,2016,argmax,DD+VOL,-0.030299761899982968,0.0036897479717227255,0.0007552047204981828
2016-08-31,2016,argmax,DD+VOL,0.013242628639957316,0.001609297963371822,0.0003320667773273554
2016-09-30,2016,argmax,DD+VOL,-0.014338536536254604,-0.01758587488840755,0.004518357490583794
2016-10-31,2016,argmax,DD+VOL,0.05593386703831738,0.044502019254316585,0.0011244406678463854
2016-11-30,2016,argmax,DD+VOL,0.017364245911655425,0.018039625444510345,0.0014107238124453352
2016-12-30,2016,argmax,DD+VOL,0.03765621572852966,0.020683567059157807,0.0007097102671404887
2017-01-31,2017,rule_r,DD,0.014420128085711685,0.03754394855565954,0.002648871813549822
2017-02-28,2017,rule_r,DD,0.013567309775485667,0.0016474015055420845,0.0026486398804703914
2017-03-31,2017,rule_r,DD,-0.004587602349307349,0.011338664343132653,0.002648627924634429
2017-04-28,2017,rule_r,DD,0.009235885208987184,0.013372779162446814,0.0026486273083043445
2017-05-31,2017,rule_r,DD,0.011779985771668972,0.0066161638379392375,0.002648627276530988
2017-06-30,2017,rule_r,DD,0.015640294261709944,0.020554854349824042,0.0026486272748929324
2017-07-31,2017,rule_r,DD,-0.022043321983092976,0.0035510882084995614,0.002648627274808482
2017-08-31,2017,rule_r,DD,0.05604452629065382,0.02289414094518781,0.0026486272748041224
2017-09-29,2017,rule_r,DD,-0.012801995876987951,0.024813993628160884,0.002648627274803903
2017-10-31,2017,rule_r,DD,0.0031171450850228447,0.032556260216786835,0.002648627274803886
2017-11-30,2017,rule_r,DD,0.011715109460449697,0.011869455442126406,0.002648627274803886
2017-12-29,2017,rule_r,DD,0.05590235215069945,0.05884043545260633,0.002648627274803886
2017-01-31,2017,argmax,DD+VOL+CS+LVIX,0.031131448075970094,0.03754394855565954,0.0001692218746012314
2017-02-28,2017,argmax,DD+VOL+CS+LVIX,-0.0026825627821523115,0.0016474015055420845,0.00011886096890366885
2017-03-31,2017,argmax,DD+VOL+CS+LVIX,-0.005184482226041405,0.011338664343132653,0.00034152102635889685
2017-04-28,2017,argmax,DD+VOL+CS+LVIX,0.007942866654615922,0.013372779162446814,0.00032265179400862835
2017-05-31,2017,argmax,DD+VOL+CS+LVIX,0.014598996883044123,0.0066161638379392375,0.00015371572954548182
2017-06-30,2017,argmax,DD+VOL+CS+LVIX,0.0433680573454129,0.020554854349824042,0.00011953384426407314
2017-07-31,2017,argmax,DD+VOL+CS+LVIX,-0.016931222117857078,0.0035510882084995614,7.17313846972976e-05
2017-08-31,2017,argmax,DD+VOL+CS+LVIX,0.0347080840789047,0.02289414094518781,0.0003771194473100832
2017-09-29,2017,argmax,DD+VOL+CS+LVIX,-0.039162640276586815,0.024813993628160884,7.948326246658523e-05
2017-10-31,2017,argmax,DD+VOL+CS+LVIX,0.034764970024946495,0.032556260216786835,5.8760629753827895e-05
2017-11-30,2017,argmax,DD+VOL+CS+LVIX,-0.008297990925297094,0.011869455442126406,8.644248017106328e-05
2017-12-29,2017,argmax,DD+VOL+CS+LVIX,0.018328932704907396,0.05884043545260633,6.702633689175518e-05
2018-01-31,2018,rule_r,DD,-0.029534203317036094,-0.035123603671475365,0.0025599018486107167
2018-02-28,2018,rule_r,DD,-0.04110141681379472,-0.023860032818565795,0.038077430190318486
2018-03-29,2018,rule_r,DD,-0.009064674637487054,0.003864809613274814,0.7117955318708021
2018-04-30,2018,rule_r,DD,0.046055481061571736,0.025454354421158388,0.9514307280167816
2018-05-31,2018,rule_r,DD,-0.00668054584635316,0.005578025496171295,0.49504107463248315
2018-06-29,2018,rule_r,DD,0.00981807127233213,0.035345141410821374,0.08509422182820728
2018-07-31,2018,rule_r,DD,0.06608549474306981,0.03604289818270671,0.007018654524574348
2018-08-31,2018,rule_r,DD,-0.005428247571304339,0.003548670483126054,0.002785053321445631
2018-09-28,2018,rule_r,DD,-0.13955947676803615,-0.07159878405288324,0.0025712313870546637
