combo,n_features,fold,hmm_seed,n_xgb_seeds,fee,val_sharpe,n_val_months,hmm_elapsed_sec,xgb_elapsed_sec
DD+CS+DISP,3,5,2,5,0.001,-0.04529978636181135,24,65.38274216651917,79.9597020149231
DD+CS+REL_N,3,1,0,5,0.001,0.6131778916398555,24,29.71451473236084,36.767656087875366
DD+CS+REL_N,3,1,1,5,0.001,0.18169647561912913,24,29.29783296585083,35.542540073394775
DD+CS+REL_N,3,1,2,5,0.001,0.7949492693343353,24,29.900378227233887,36.27440071105957
DD+CS+REL_N,3,2,0,5,0.001,0.2910577862067086,24,39.61637091636658,60.90584707260132
DD+CS+REL_N,3,2,1,5,0.001,-0.04919535639329985,24,39.96518683433533,62.539377212524414
DD+CS+REL_N,3,2,2,5,0.001,-0.1397264058114979,24,40.6392662525177,61.88919496536255
DD+CS+REL_N,3,3,0,5,0.001,-0.30042111640142405,24,56.14938974380493,71.2233350276947
DD+CS+REL_N,3,3,1,5,0.001,-0.30555479653928375,24,56.58070778846741,71.37093210220337
DD+CS+REL_N,3,3,2,5,0.001,-0.28866635526834783,24,56.07721972465515,69.89900231361389
DD+CS+REL_N,3,4,0,5,0.001,0.7251724921801904,24,61.36446714401245,72.77143287658691
DD+CS+REL_N,3,4,1,5,0.001,1.2260621977531945,24,60.93247389793396,72.48636817932129
DD+CS+REL_N,3,4,2,5,0.001,1.1549871803434582,24,60.28017711639404,74.57265281677246
DD+CS+REL_N,3,5,0,5,0.001,1.1745970063121467,24,74.44065594673157,86.25225114822388
DD+CS+REL_N,3,5,1,5,0.001,1.438962803350223,24,74.21521210670471,86.07934808731079
DD+CS+TERM,3,1,0,5,0.001,0.11119609772570606,24,31.876656770706177,40.69093871116638
DD+CS+TERM,3,1,1,5,0.001,0.15328664260142186,24,32.3279869556427,39.141282081604004
DD+CS+REL_N,3,5,2,5,0.001,0.2918007587246174,24,73.84011697769165,86.17987489700317
DD+CS+TERM,3,1,2,5,0.001,0.3028918582764963,24,33.35825800895691,38.94973421096802
DD+CS+TERM,3,2,0,5,0.001,0.8101169242614714,24,48.949211835861206,58.92225790023804
DD+CS+TERM,3,2,1,5,0.001,0.6081301008261267,24,48.94178295135498,59.165050983428955
DD+CS+TERM,3,2,2,5,0.001,0.6104327039014458,24,49.00503396987915,59.80901312828064
DD+CS+TERM,3,3,0,5,0.001,-0.225615480513909,24,64.49326586723328,62.67182803153992
DD+CS+TERM,3,3,1,5,0.001,-0.18942333664717453,24,66.63329792022705,63.365479946136475
DD+CS+TERM,3,3,2,5,0.001,-0.24059527952111465,24,65.98368191719055,63.713624000549316
DD+CS+TERM,3,4,0,5,0.001,1.3049433453673585,24,59.31487417221069,69.61624598503113
